date,ftse
30/06/2017,7312.715749
3/7/2017,7377.091446
4/7/2017,7357.226805
5/7/2017,7367.597341
6/7/2017,7337.281439
7/7/2017,7350.919167
10/7/2017,7370.033117
11/7/2017,7329.757198
12/7/2017,7416.928462
13/07/2017,7413.44196
14/07/2017,7378.386242
17/07/2017,7404.125276
18/07/2017,7390.215977
19/07/2017,7430.905323
20/07/2017,7487.869999
21/07/2017,7452.910158
24/07/2017,7377.729244
25/07/2017,7434.822006
26/07/2017,7452.321663
27/07/2017,7443.014757
28/07/2017,7368.367982
31/07/2017,7372.002699
1/8/2017,7423.661878
2/8/2017,7411.426068
3/8/2017,7474.768105
4/8/2017,7511.71236
7/8/2017,7531.942572
8/8/2017,7542.727848
9/8/2017,7498.062854
10/8/2017,7389.943028
11/8/2017,7309.960772
14/08/2017,7353.887376
15/08/2017,7383.846505
16/08/2017,7433.030492
17/08/2017,7387.869542
18/08/2017,7323.981049
21/08/2017,7318.877645
22/08/2017,7381.742514
23/08/2017,7382.652476
24/08/2017,7407.063543
25/08/2017,7401.45535
28/08/2017,7401.45535
29/08/2017,7337.429163
30/08/2017,7365.258493
31/08/2017,7430.622829
1/9/2017,7438.498456
4/9/2017,7411.469517
5/9/2017,7372.917608
6/9/2017,7354.129356
7/9/2017,7396.982415
8/9/2017,7377.598405
11/9/2017,7413.591224
12/9/2017,7400.693281
13/09/2017,7379.699502
14/09/2017,7295.38698
15/09/2017,7215.467669
18/09/2017,7253.279158
19/09/2017,7275.24754
20/09/2017,7271.951026
21/09/2017,7263.902074
22/09/2017,7310.639978
25/09/2017,7301.286997
26/09/2017,7285.736738
27/09/2017,7313.509501
28/09/2017,7322.816355
29/09/2017,7372.75754
2/10/2017,7438.837521
3/10/2017,7468.113712
4/10/2017,7467.584695
5/10/2017,7507.991277
6/10/2017,7522.872491
9/10/2017,7507.894194
10/10/2017,7538.271174
11/10/2017,7533.807598
12/10/2017,7556.242111
13/10/2017,7535.43741
16/10/2017,7526.968956
17/10/2017,7516.174524
18/10/2017,7542.866979
19/10/2017,7523.038195
20/10/2017,7523.225958
23/10/2017,7524.452244
24/10/2017,7526.543117
25/10/2017,7447.212942
26/10/2017,7486.499169
27/10/2017,7505.029789
30/10/2017,7487.812147
31/10/2017,7493.078749
1/11/2017,7487.961828
2/11/2017,7555.321512
3/11/2017,7560.346733
6/11/2017,7562.276814
7/11/2017,7513.114864
8/11/2017,7529.720853
9/11/2017,7484.101947
10/11/2017,7432.989083
13/11/2017,7415.176578
14/11/2017,7414.419334
15/11/2017,7372.612773
16/11/2017,7386.944813
17/11/2017,7380.683238
20/11/2017,7389.457974
21/11/2017,7411.336792
22/11/2017,7419.015436
23/11/2017,7417.244391
24/11/2017,7409.640866
27/11/2017,7383.90011
28/11/2017,7460.654885
29/11/2017,7393.563078
30/11/2017,7326.666262
1/12/2017,7300.486018
4/12/2017,7338.970418
5/12/2017,7327.503779
6/12/2017,7348.034072
7/12/2017,7320.749901
8/12/2017,7393.957962
11/12/2017,7453.480087
12/12/2017,7500.414263
13/12/2017,7496.511635
14/12/2017,7448.117981
15/12/2017,7490.569826
18/12/2017,7537.008105
19/12/2017,7544.086572
20/12/2017,7525.217814
21/12/2017,7603.98044
22/12/2017,7592.663253
25/12/2017,7592.663253
26/12/2017,7592.663253
27/12/2017,7620.681649
28/12/2017,7622.877814
29/12/2017,7687.772698
2/1/2018,7648.096
3/1/2018,7671.107761
4/1/2018,7695.882659
5/1/2018,7724.218086
8/1/2018,7696.513071
9/1/2018,7731.020101
10/1/2018,7748.511845
11/1/2018,7762.941268
12/1/2018,7778.637689
15/01/2018,7769.139189
